# Y-M-D   T H:M:S     ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL
2019-11-07T05:09:14    86098  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  333.6  63.9  0 0
2019-11-07T05:34:10    86099  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  315.3  56.0  237.6 0
2019-11-07T05:34:31    86100  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      77.5    1.083633  40.109953  315.3  55.9  237.6 0
2019-11-07T05:38:29    86101  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  324.9  60.5  0 0
2019-11-07T05:38:53    86102  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  324.6  60.3  0 0
2019-11-07T06:04:16    86103  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  311.2  50.8  237.6 0
2019-11-07T06:04:38    86104  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      77.0    1.083633  40.109953  311.1  50.7  237.6 0
2019-11-07T06:13:42    86105  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  317.4  55.2  0 0
2019-11-07T06:14:11    86106  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  317.2  55.0  0 0
2019-11-07T06:39:48    86107  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  308.2  44.3  237.6 0
2019-11-07T06:40:11    86108  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      76.1    1.083633  40.109953  308.2  44.2  237.6 0
2019-11-07T06:45:27    86109  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  313.0  50.0  0 0
2019-11-07T06:46:02    86110  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  312.9  49.7  0 0
2019-11-07T07:40:38    86130  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  306.2  33.3  237.6 0
2019-11-07T07:40:59    86131  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      77.0    1.083633  40.109953  306.2  32.7  237.6 0
2019-11-07T07:46:05    86132  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.1   10.648750  41.513700  308.7  39.1  0 0
2019-11-07T07:46:40    86133  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  308.6  38.7  0 0
2019-11-07T08:14:12    86134  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  306.3  26.4  237.6 0
2019-11-07T08:14:49    86135  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      76.3    1.083633  40.109953  306.3  26.2  237.6 0
2019-11-07T08:21:17    86136  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  307.9  32.6  0 0
2019-11-07T08:22:01    86137  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  307.8  32.1  0 0
2019-11-07T08:49:14    86138  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  307.8  27.0  0 0
2019-11-07T08:49:41    86139  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  307.8  26.9  0 0
2019-11-08T04:16:17    86238  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  336.3  66.3  237.6 0
2019-11-08T04:16:40    86239  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      78.1    1.083633  40.109953  335.7  66.2  237.6 0
2019-11-08T04:20:00    86240  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  334.4  65.8  237.6 0
2019-11-08T04:20:22    86241  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      78.4    1.083633  40.109953  334.2  65.8  237.6 0
2019-11-08T04:23:54    86242  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  351.1  67.0  0 0
2019-11-08T04:24:20    86243  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  350.6  67.0  0 0
2019-11-08T04:49:15    86244  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  324.5  62.3  237.6 0
2019-11-08T04:49:36    86245  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.6    1.083633  40.109953  324.4  62.2  237.6 0
2019-11-08T04:53:18    86246  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  338.3  65.2  0 0
2019-11-08T04:53:43    86247  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  337.9  65.1  0 0
2019-11-08T05:18:53    86248  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  317.4  57.9  237.6 0
2019-11-08T05:19:16    86249  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.2    1.083633  40.109953  317.3  57.8  237.6 0
2020-01-15T03:28:00    88792  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  306.2  29.7  237.6 0
2020-01-15T03:28:23    88793  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      78.9    1.083633  40.109953  306.2  29.1  237.6 0
2020-01-15T03:33:17    88794  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  306.2  28.2  237.6 0
2020-01-15T03:33:39    88795  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.2    1.083633  40.109953  306.2  28.1  237.6 0


